zip,lat,lon,city,state,precision
01550,42.12925,-72.03115,Southbridge,MA,coarse
01560,42.17654,-71.68191,South Grafton,MA,coarse
01561,42.44354,-71.68614,South Lancaster,MA,coarse
01562,42.25484,-72.06561,Spencer,MA,coarse
01564,42.36677,-71.93937,Sterling,MA,coarse
01566,42.10273,-72.08100,Sturbridge,MA,coarse
01568,42.17559,-71.60320,Upton,MA,coarse
01569,42.05974,-71.63844,Uxbridge,MA,coarse
01570,42.13510,-71.99417,Webster,MA,coarse
01571,42.05919,-71.93704,Dudley,MA,coarse
01580,42.36481,-71.89687,Westborough,MA,coarse
01581,42.25522,-71.84587,Westborough,MA,coarse
01582,42.36481,-71.89687,Westborough,MA,coarse
01583,42.36278,-71.78122,West Boylston,MA,coarse
01585,42.23564,-72.17252,West Brookfield,MA,coarse
01586,42.36481,-71.89687,West Millbury,MA,coarse
01588,42.16655,-71.89948,Whitinsville,MA,coarse
01590,42.12658,-71.75519,Sutton,MA,coarse
01601,42.26528,-71.87941,Worcester,MA,coarse
01602,42.27459,-71.84697,Worcester,MA,coarse
01603,42.24544,-71.83926,Worcester,MA,coarse
01604,42.24795,-71.76678,Worcester,MA,coarse
01605,42.28879,-71.79613,Worcester,MA,coarse
01606,42.31183,-71.79447,Worcester,MA,coarse
01607,42.22645,-71.79251,Worcester,MA,coarse
01608,42.29350,-71.92570,Worcester,MA,coarse
01609,42.28256,-71.82769,Worcester,MA,coarse
01610,42.24648,-71.80891,Worcester,MA,coarse
01611,42.23939,-71.87872,Cherry Valley,MA,coarse
01612,42.30468,-71.89288,Paxton,MA,coarse
01613,42.29332,-71.80197,Worcester,MA,coarse
01614,42.36481,-71.89687,Worcester,MA,coarse
01615,42.36481,-71.89687,Worcester,MA,coarse
01653,42.36481,-71.89687,Worcester,MA,coarse
01654,42.36481,-71.89687,Worcester,MA,coarse
01655,42.36481,-71.89687,Worcester,MA,coarse
01701,42.44640,-71.45941,Framingham,MA,coarse
01702,42.44640,-71.45941,Framingham,MA,coarse
01703,42.44640,-71.45941,Framingham,MA,coarse
01704,42.44640,-71.45941,Framingham,MA,coarse
01705,42.44640,-71.45941,Framingham,MA,coarse
01718,42.44640,-71.45941,Village Of Nagog Woods,MA,coarse
01719,42.44640,-71.45941,Boxborough,MA,coarse
01720,42.44640,-71.45941,Acton,MA,coarse
01721,42.44640,-71.45941,Ashland,MA,coarse
01730,42.44640,-71.45941,Bedford,MA,coarse
01731,42.44640,-71.45941,Hanscom Afb,MA,coarse
01740,42.43604,-71.60592,Bolton,MA,coarse
01741,42.44640,-71.45941,Carlisle,MA,coarse
01742,42.44640,-71.45941,Concord,MA,coarse
